item_id,item,category,questionnaire
irq-manipulation-1,I can easily imagine and mentally rotate three-dimensional geometric figures.,manipulation,irq
irq-manipulation-2,I can easily choose to imagine this sentence in my mind pronounced unnaturally slowly.,manipulation,irq
irq-manipulation-3,"In school, I had no problems with geometry.",manipulation,irq
irq-manipulation-4,It is easy for me to imagine the sensation of licking a brick.,manipulation,irq
irq-manipulation-5,I find it difficult to imagine how a three-dimensional geometric figure would exactly look like when rotated.,manipulation,irq
irq-manipulation-6,"I can easily imagine someone clearly talking, and then imagine the same voice with a heavy cold.",manipulation,irq
irq-manipulation-7,I think I have a large vocabulary in my native language compared to others.,manipulation,irq
irq-manipulation-8,I can easily imagine the sound of a trumpet getting louder.,manipulation,irq
irq-ortho-1,I find it easy to decide if words rhyme by seeing their spelling in my mind's eye.,orthographic,irq
irq-ortho-2,"When I hear someone talking, I see words written down in my mind.",orthographic,irq
irq-ortho-3,"I see words in my ""mind’s eye"" when I think.",orthographic,irq
irq-ortho-4,"When I am introduced to someone for the first time, I imagine what their name would look like when written down.",orthographic,irq
irq-ortho-5,A strategy I use to help me remember written material is imagining what the writing looks like.,orthographic,irq
irq-ortho-6,I hear a running summary of everything I am doing in my head.,orthographic,irq
irq-verbal-1,"When I think about someone I know well, I instantly hear their voice in my mind.",verbal,irq
irq-verbal-2,I think about problems in my mind in the form of a conversation with myself.,verbal,irq
irq-verbal-3,"If I am walking somewhere by myself, I often have a silent conversation with myself.",verbal,irq
irq-verbal-4,"If I am walking somewhere by myself, I frequently think of conversations that I’ve recently had.",verbal,irq
irq-verbal-5,My inner speech helps my imagination.,verbal,irq
irq-verbal-6,I tend to think things through verbally when I am relaxing.,verbal,irq
irq-verbal-7,"When thinking about a social problem, I often talk it through in my head.",verbal,irq
irq-verbal-8,I like to give myself some down time to talk through thoughts in my mind.,verbal,irq
irq-verbal-9,"I hear words in my ""mind’s ear"" when I think.",verbal,irq
irq-verbal-10,I rarely vocalize thoughts in my mind.,verbal,irq
irq-verbal-11,I often talk to myself internally while watching TV.,verbal,irq
irq-verbal-12,My memories often involve conversations I’ve had.,verbal,irq
irq-visual-1,I often enjoy the use of mental pictures to reminisce.,visual,irq
irq-visual-2,I can close my eyes and easily picture a scene that I have experienced. ,visual,irq
irq-visual-3,My mental images are very vivid and photographic.,visual,irq
irq-visual-4,The old saying “A picture is worth a thousand words” is certainly true for me.,visual,irq
irq-visual-5,"When I think about someone I know well, I instantly see their face in my mind.",visual,irq
irq-visual-6,I often use mental images or pictures to help me remember things.,visual,irq
irq-visual-7,My memories are mainly visual in nature.,visual,irq
irq-visual-8,When traveling to get to somewhere I tend to think more visually than verbally.,visual,irq
irq-visual-9,If I talk to myself in my head it is usually accompanied by visual imagery.,visual,irq
irq-visual-10,If I imagine my memories visually they are more often static than moving.,visual,irq
