item_id,item,category,questionnaire
osviq-object-1,My images are very colourful and bright.,visual,osivq
osviq-object-2,"When reading fiction, I usually form a clear and detailed mental picture of a scene or room that has been described.",visual,osivq
osviq-object-3,"If I were asked to choose among engineering professions, or visual arts, I would choose visual arts.",visual,osivq
osviq-object-4,I have a photographic memory.,visual,osivq
osviq-object-5,I enjoy pictures with bright colours and unusual shapes like the ones in modern art.,visual,osivq
osviq-object-6,"When entering a familiar store to get a specific item, I can easily picture the exact location of the target item, the shelf it stands on, how it is arranged and the surrounding articles.",visual,osivq
osviq-object-7,My images are very vivid and photographic.,visual,osivq
osviq-object-8,"My mental images of different objects very much resemble the size, shape and colour of actual objects that I have seen.",visual,osivq
osviq-object-9,"When I imagine the face of a friend, I have a perfectly clear and bright image.",visual,osivq
osviq-object-10,"I can easily remember a great deal of visual details that someone else might never notice. For example, I would just automatically take some things in, like what colour is a shirt someone wears or what colour are his/her shoes.",visual,osivq
osviq-object-11,Sometimes my images are so vivid and persistent that it is difficult to ignore them.,visual,osivq
osviq-object-12,I can close my eyes and easily picture a scene that I have experienced.,visual,osivq
osviq-object-13,I remember everything visually. I can recount what people wore to a dinner and I can talk about the way they sat and the way they looked probably in more detail than I could discuss what they said.,visual,osivq
osviq-object-14,My visual images are in my head all the time. They are just right there.,visual,osivq
osviq-object-15,"When I hear a radio announcer or a DJ I’ve never actually seen, I usually find myself picturing what he or she might look like.",visual,osivq
osviq-spatial-1,I was very good in 3D geometry as a student.,spatial,osivq
osviq-spatial-2,"If I were asked to choose between engineering professions and visual arts, I would prefer engineering.",spatial,osivq
osviq-spatial-3,Architecture interests me more than painting.,spatial,osivq
osviq-spatial-4,I prefer schematic diagrams and sketches when reading a textbook instead of colourful and pictorial illustrations.,spatial,osivq
osviq-spatial-5,My images are more like schematic representations of things and events rather than like detailed pictures.,spatial,osivq
osviq-spatial-6,I can easily imagine and mentally rotate three-dimensional geometric figures.,spatial,osivq
osviq-spatial-7,"When thinking about an abstract concept (or building), I imagine an abstract schematic building in my mind or its blueprint rather than a specific concrete building.",spatial,osivq
osviq-spatial-8,I normally do not experience many spontaneous vivid images; I use my mental imagery mostly when attempting to solve some problems like the ones in mathematics.,spatial,osivq
osviq-spatial-9,I have excellent abilities in technical graphics.,spatial,osivq
osviq-spatial-10,I can easily sketch a blueprint for a building I am familiar with.,spatial,osivq
osviq-spatial-11,"In school, I had no problems with geometry.",spatial,osivq
osviq-spatial-12,"I am good in playing spatial games involving constructing from blocks and paper (e.g. Lego, Tetris, Origami).",spatial,osivq
osviq-spatial-13,My images are more schematic than colourful and pictorial.,spatial,osivq
osviq-spatial-14,I find it difficult to imagine how a three-dimensional geometric figure would exactly look like when rotated.,spatial,osivq
osviq-spatial-15,My graphic abilities would make a career in architecture relatively easy for me.,spatial,osivq
osviq-verbal-1,I have difficulty expressing myself in writing.,verbal,osivq
osviq-verbal-2,My verbal abilities would make a career in language arts relatively easy for me.,verbal,osivq
osviq-verbal-3,I tell jokes and stories better than most people.,verbal,osivq
osviq-verbal-4,Essay writing is difficult for me and I do not enjoy doing it at all.,verbal,osivq
osviq-verbal-5,My verbal skills are excellent.,verbal,osivq
osviq-verbal-6,Putting together furniture kits (e.g. a TV stand or a chair)is much easier for me when I have detailed verbal instructions than when I only have a diagram or picture.,verbal,osivq
osviq-verbal-7,"When explaining something, I would rather give verbal explanations than make drawings or sketches.",verbal,osivq
osviq-verbal-8,If someone were to give me two-digit numbers to add (e.g. 43 and 32) I would simply do the adding without visualizing the numbers.,verbal,osivq
osviq-verbal-9,I usually do not try to visualize or sketch diagrams when reading a textbook.,verbal,osivq
osviq-verbal-10,"When remembering a scene, I use verbal descriptions rather than mental pictures.",verbal,osivq
osviq-verbal-11,I have better than average fluency in using words.,verbal,osivq
osviq-verbal-12,I would rather have a verbal description of an object or person than a picture.,verbal,osivq
osviq-verbal-13,I am always aware of sentence structure.,verbal,osivq
osviq-verbal-14,I enjoy being able to rephrase my thoughts in many ways for variety’s sake in both writing and speaking.,verbal,osivq
osviq-verbal-15,I sometimes have a problem expressing exactly what I want to say.,verbal,osivq
