item_id,index,value,word1,word2,pos,simlex,concwordone,concwordtwo,concq,assocusf,stim,simasoc,time,subject,list,lancmotorsim,lancsensorysim,lancsensorymotorsim,glovesim,attentioncheck,attention_accuracy
13,6,4,easy,difficult,A,0.58,2.07,2.21,1,2.83,easy,1,1708975623069,t2k8l8ho,List 8,0.028,0.027,0.099,0.376,0,-1
20,5,4,hard,tough,A,8.05,3.76,2.5,2,1.99,hard,1,1708975622365,t2k8l8ho,List 8,0.033,0.031,0.033,0.342,0,-1
35,0,4,weird,odd,A,9.2,1.59,1.7,1,0.75,weird,1,1708975611765,t2k8l8ho,List 8,0.028,0.039,0.036,0.385,0,-1
44,1,5,nice,cruel,A,0.67,2.18,2.11,1,0.49,nice,1,1708975631772,t2k8l8ho,List 8,0.037,0.042,0.043,0.837,0,-1
51,6,2,bad,great,A,0.35,1.68,1.81,1,0.35,bad,0,1708975662547,t2k8l8ho,List 8,0.01,0.025,0.027,0.651,0,-1
58,4,1,easy,flexible,A,4.1,2.07,2.64,1,0.27,easy,0,1708975599657,t2k8l8ho,List 8,0.292,0.116,0.21,0.667,0,-1
67,3,4,friendly,generous,A,5.9,2.32,2.25,1,0.21,friendly,0,1708975679245,t2k8l8ho,List 8,0.022,0.076,0.058,0.708,0,-1
71,3,4,rough,frigid,A,2.47,3.83,3.28,2,0.21,rough,0,1708975606682,t2k8l8ho,List 8,0.051,0.126,0.082,0.716,0,-1
83,7,2,modest,ashamed,A,2.65,2.21,1.74,1,0.14,modest,0,1708975617248,t2k8l8ho,List 8,0.055,0.22,0.168,1.027,0,-1
94,3,5,sick,crazy,A,3.57,2.97,2.37,2,0.14,sick,0,1708975660656,t2k8l8ho,List 8,0.229,0.089,0.18,0.653,0,-1
110,5,6,large,flexible,A,0.48,3.37,2.64,2,0,large,0,1708975608841,t2k8l8ho,List 8,0.193,0.04,0.121,0.749,0,-1
121,0,5,friend,buddy,N,8.78,3.07,3.48,2,6.87,friend,1,1708975650681,t2k8l8ho,List 8,0.007,0.038,0.076,0.532,0,-1
136,6,1,navy,army,N,6.43,3.93,4.7,3,5,navy,1,1708975635102,t2k8l8ho,List 8,0.03,0.017,0.043,0.49,0,-1
137,6,5,book,literature,N,7.53,4.9,4.1,3,4.86,book,1,1708975629131,t2k8l8ho,List 8,0.066,0.087,0.078,0.479,0,-1
139,4,2,sunset,sunrise,N,2.47,4.54,4.69,3,4.8,sunset,1,1708975633602,t2k8l8ho,List 8,0.001,0.031,0.032,0.323,0,-1
179,1,5,street,alley,N,5.48,4.75,4.82,4,2.07,street,1,1708975637803,t2k8l8ho,List 8,0.015,0.067,0.047,0.634,0,-1
216,3,5,hose,garden,N,1.67,4.87,4.73,4,1.32,hose,1,1708975613690,t2k8l8ho,List 8,0.154,0.134,0.153,0.737,0,-1
222,6,6,school,grade,N,4.42,4.79,3,3,1.18,school,1,1708975641327,t2k8l8ho,List 8,0.185,0.02,0.118,0.475,0,-1
223,7,1,parent,adult,N,5.37,4.56,4.4,3,1.15,parent,1,1708975641860,t2k8l8ho,List 8,0.012,0.077,0.055,0.613,0,-1
229,6,2,metal,aluminum,N,7.25,4.87,4.88,4,1.1,metal,1,1708975668489,t2k8l8ho,List 8,0.021,0.006,0.033,0.452,0,-1
233,6,5,water,ice,N,6.47,5,4.89,4,1.03,water,1,1708975675322,t2k8l8ho,List 8,0.01,0.033,0.023,0.598,0,-1
237,3,2,business,company,N,9.02,3.28,4.11,3,0.97,business,1,1708975639218,t2k8l8ho,List 8,0.008,0.018,0.015,0.409,0,-1
241,5,2,hand,foot,N,4.17,4.72,4.9,4,0.95,hand,1,1708975668031,t2k8l8ho,List 8,0.834,0.019,0.357,0.576,0,-1
